iter	Accuracy	Logloss
0	0.8856846373	0.5286525864
1	0.896556301	0.4132739524
2	0.9072952363	0.3548391315
3	0.9114339495	0.3108295612
4	0.9155243979	0.2783544698
5	0.9253583667	0.2546355363
6	0.9282663256	0.2341736294
7	0.9291833583	0.2227258973
8	0.9283025243	0.215216798
9	0.9317896617	0.2068026593
10	0.9330566147	0.1959617814
11	0.9353974613	0.1869858744
12	0.9356749843	0.1835381554
13	0.9345648921	0.1787083467
14	0.9362300304	0.1754540612
15	0.9360611033	0.1733253897
16	0.9366040832	0.1713108687
17	0.9367247454	0.1694634465
18	0.936978136	0.1671485551
19	0.9375693808	0.1648464113
20	0.9377745065	0.1634449144
21	0.9379313673	0.1615887897
22	0.9383898837	0.1600020996
23	0.9384984797	0.1587916885
24	0.9390897244	0.1579223471
25	0.9401274193	0.1560552976
26	0.9397413003	0.1548202719
27	0.9404290748	0.1531489844
28	0.9403204788	0.151545537
29	0.9405859356	0.1500487473
30	0.9420218157	0.1475889443
31	0.9427578551	0.1463888407
32	0.9427940538	0.1460031817
33	0.9433129012	0.1446781921
34	0.9436024905	0.143683605
35	0.9441092717	0.1421857739
36	0.9440006757	0.1414178634
37	0.944290265	0.1409766882
38	0.9446160529	0.1395361805
39	0.9449418408	0.1388598387
40	0.945279695	0.1376608591
41	0.9451952314	0.137183062
42	0.9452072976	0.1367822468
43	0.9454244896	0.136546636
44	0.9452434963	0.1361109351
45	0.9453520923	0.1354604317
46	0.9454606883	0.1349589279
47	0.9459674695	0.1345914813
48	0.946655244	0.1337414707
49	0.9469810319	0.1329191366
50	0.9470292968	0.1327893451
51	0.9473068198	0.1326679301
52	0.9474516145	0.132089964
53	0.9477050051	0.1314339522
54	0.9478497997	0.1308786462
55	0.9479945943	0.1302580178
56	0.9481755876	0.1298971974
57	0.9484893093	0.1294058611
58	0.9487788986	0.1289832787
59	0.9486703026	0.1288315837
60	0.9487426999	0.1285353907
61	0.9488150973	0.128082835
62	0.9488512959	0.1278220013
63	0.9488271635	0.1271071362
64	0.9490443554	0.1267722004
65	0.9489840243	0.1266173443
66	0.9491891501	0.1262299372
67	0.9493460109	0.1261095369
68	0.9495752691	0.1255651933
69	0.9495873353	0.1253322259
70	0.9497079975	0.1249455205
71	0.9497441961	0.1247799764
72	0.9499251894	0.1242990303
73	0.9502509774	0.1238441361
74	0.9504923018	0.1233355669
75	0.950673295	0.1229671909
76	0.9508542883	0.1226286805
77	0.9509146194	0.1224760952
78	0.9509508181	0.1220535713
79	0.9510835465	0.1220059039
80	0.9511197452	0.1216721195
81	0.9513128047	0.1212825965
82	0.9517109899	0.120726293
83	0.951662725	0.1204281532
84	0.9521091752	0.1201488645
85	0.9521453738	0.1199780303
86	0.9521091752	0.1197992263
87	0.9522298373	0.1194442726
88	0.9523866982	0.1193797564
89	0.9523022347	0.1191280215
90	0.9524228969	0.1189749202
91	0.9524470293	0.1186870788
92	0.9526883537	0.1183997675
93	0.9528210821	0.118012493
94	0.9528452145	0.117890968
95	0.9529417443	0.1176804603
96	0.9529296781	0.1172893335
97	0.9530262078	0.1171481197
98	0.9529176119	0.1170347312
99	0.9528452145	0.1169215216
100	0.9528331483	0.1167903404
101	0.9529055456	0.1166284711
102	0.9529658767	0.1164594647
103	0.9530624065	0.116350549
104	0.95314687	0.1157950644
105	0.9532795984	0.1157215806
106	0.953364062	0.1156786177
107	0.9535933201	0.115525926
108	0.9536053864	0.1154122848
109	0.9536777837	0.1153398796
110	0.9536536512	0.1147289927
111	0.9537863797	0.114426179
112	0.9538225783	0.1142795386
113	0.9538467107	0.1141729921
114	0.9540518365	0.1138596391
115	0.9540397703	0.1137760242
116	0.9540035716	0.1137132078
117	0.9541363	0.1136632584
118	0.9540639027	0.1135274778
119	0.9540639027	0.113435613
120	0.9541966311	0.1131974568
121	0.9541966311	0.1130918265
122	0.9542086973	0.1129490039
123	0.9541724987	0.1127923483
124	0.9543293595	0.112707432
125	0.9544258893	0.1125269693
126	0.9544741542	0.1122539982
127	0.9544862204	0.1119767181
128	0.9545344853	0.1119423032
129	0.9546189488	0.1118008262
130	0.9546430812	0.1116345556
131	0.9545827501	0.1114310977
132	0.9546672137	0.1112581528
133	0.9547275448	0.1111421494
134	0.9548964718	0.1109217106
135	0.9549447367	0.1108199126
136	0.9549688692	0.1106221477
137	0.9550412665	0.1104207253
138	0.95512573	0.1103554287
139	0.9551739949	0.1102998551
140	0.9551136638	0.1099847269
141	0.9551015976	0.1098913378
142	0.9552463922	0.109758952
143	0.9552463922	0.1097065476
144	0.9554394517	0.1095880622
145	0.9553791206	0.1094325223
146	0.9555721801	0.1092146494
147	0.9555239152	0.1091261649
148	0.9555842463	0.1090982738
149	0.9555601139	0.1090110295
150	0.9556566437	0.1089273681
151	0.9555239152	0.1087949695
152	0.9555359815	0.1086895612
153	0.9555963126	0.108384593
154	0.9556445774	0.1081685063
155	0.9557049085	0.1080784959
156	0.9557049085	0.1080321308
157	0.9556807761	0.1079785134
158	0.955729041	0.1077463488
159	0.9557049085	0.1074832306
160	0.9559341667	0.107244503
161	0.9560306965	0.1070926941
162	0.9559944978	0.1070429236
163	0.9560427627	0.106953031
164	0.9560427627	0.1068990736
165	0.9560548289	0.1068574284
166	0.9560668951	0.1068060092
167	0.9560910276	0.1067723493
168	0.9561272262	0.1065527215
169	0.9561875573	0.1064737758
170	0.9562358222	0.1064482126
171	0.9561272262	0.1063256456
172	0.9562478884	0.1062353763
173	0.9562358222	0.1060895344
174	0.956223756	0.1058980341
175	0.9561754911	0.1057685182
176	0.9563806168	0.105684459
177	0.956501279	0.1055757082
178	0.9564771466	0.1055104496
179	0.9564530141	0.1054388415
180	0.9564650804	0.1053978426
181	0.956501279	0.1053334577
182	0.9565495439	0.1052622411
183	0.956501279	0.1051743941
184	0.9565857426	0.104916803
185	0.9566219412	0.1047464128
186	0.956718471	0.1046316576
187	0.9567546696	0.1044983614
188	0.9567426034	0.1044215149
189	0.9568391332	0.104331917
190	0.9569235967	0.1043103984
191	0.9570321927	0.1041995949
192	0.9570683913	0.1041595701
193	0.9571649211	0.1040939496
194	0.9571407886	0.1040328785
195	0.9572011197	0.1040000668
196	0.9571649211	0.103946743
197	0.9571649211	0.103886765
198	0.9572252522	0.1038067885
199	0.957213186	0.1037207623
200	0.9573217819	0.103545805
201	0.957382113	0.1034586976
202	0.9574183117	0.1034241709
203	0.9574303779	0.103385427
204	0.9572735171	0.1032735973
205	0.9572976495	0.1032121944
206	0.9574183117	0.1031233994
207	0.9573941793	0.1030645044
208	0.9574303779	0.1029895914
209	0.957382113	0.1029632043
210	0.9573941793	0.1029206388
211	0.9573459144	0.1028935641
212	0.9573700468	0.1028570793
213	0.957382113	0.1028406809
214	0.9573579806	0.1027336232
215	0.9573941793	0.1027233151
216	0.9573217819	0.1026947832
217	0.9574665766	0.1025526069
218	0.9574303779	0.102456646
219	0.9574303779	0.1023492506
220	0.9575027752	0.102208492
221	0.9575148414	0.1021555834
222	0.957490709	0.1021159591
223	0.9575510401	0.1020329139
224	0.9575872388	0.1019707909
225	0.9577320334	0.1018766106
226	0.9577682321	0.1017116521
227	0.9577802983	0.1016979037
228	0.9578044307	0.1016827994
229	0.9578285632	0.101654921
230	0.9578406294	0.1015846354
231	0.9578164969	0.1015469818
232	0.9578888943	0.1015209397
233	0.957876828	0.1014621087
234	0.9579009605	0.1014282364
235	0.9578526956	0.1013989671
236	0.9579250929	0.1012937981
237	0.9579492253	0.1012251656
238	0.9579733578	0.1011284392
239	0.9580216227	0.1010349079
240	0.9580578213	0.1009922626
241	0.9580578213	0.1009687271
242	0.9581060862	0.1009349349
243	0.9581060862	0.1009114033
244	0.95809402	0.1007278981
245	0.9580819538	0.1006513686
246	0.9581060862	0.1005842624
247	0.9581181524	0.1005384706
248	0.9581302186	0.1005290317
249	0.9580698875	0.1004308963
250	0.9580578213	0.1003920768
251	0.9581181524	0.1003080238
252	0.958202616	0.1002224562
253	0.9582146822	0.1001742172
254	0.9582870795	0.1000475391
255	0.9582750133	0.1000190987
256	0.9584077417	0.09988225998
257	0.9584198079	0.09984166392
258	0.9584077417	0.09980986349
259	0.9584077417	0.09980986349
260	0.9584077417	0.09978193849
261	0.9584077417	0.09978179979
