iter	Passed	Remaining
0	18	4659
1	38	4676
2	56	4567
3	73	4467
4	91	4432
5	110	4433
6	128	4393
7	146	4388
8	165	4382
9	184	4377
10	203	4364
11	220	4327
12	238	4294
13	262	4374
14	294	4558
15	338	4880
16	366	4963
17	417	5307
18	451	5415
19	477	5420
20	529	5699
21	618	6329
22	657	6404
23	683	6355
24	709	6298
25	731	6219
26	753	6136
27	775	6067
28	797	5998
29	821	5939
30	844	5881
31	866	5821
32	892	5785
33	914	5731
34	935	5666
35	957	5609
36	978	5551
37	999	5495
38	1019	5438
39	1041	5388
40	1061	5335
41	1081	5280
42	1101	5224
43	1121	5176
44	1141	5123
45	1160	5072
46	1180	5025
47	1201	4981
48	1221	4936
49	1242	4896
50	1260	4845
51	1279	4799
52	1299	4758
53	1319	4716
54	1339	4674
55	1358	4632
56	1376	4589
57	1396	4549
58	1415	4509
59	1432	4463
60	1453	4430
61	1472	4393
62	1490	4353
63	1508	4314
64	1527	4276
65	1544	4235
66	1562	4196
67	1579	4158
68	1597	4120
69	1615	4084
70	1635	4053
71	1653	4018
72	1673	3987
73	1694	3962
